exam,branch_raw,branch_clean,n_rows,n_colleges,status,existing_branch_id,suggested_primary_branch,note
JoSAA,"Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))","Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites (5 Years, Bachelor and Master of Technology (Dual Degree))",107,1,NEW,,Metallurgical and Materials Engineering,
JoSAA,"Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",94,1,NEW,,Metallurgical and Materials Engineering,
JoSAA,"Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","Metallurgical and Materials Engineering and M.Tech. in Materials Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",62,1,NEW,,Metallurgical and Materials Engineering,
JoSAA,"Metallurgy and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","Metallurgy and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",48,1,NEW,,Metallurgical and Materials Engineering,
JoSAA,"Mineral Engineering (4 Years, Bachelor of Technology)","Mineral Engineering (4 Years, Bachelor of Technology)",159,2,NEW,,Mining Engineering,
JoSAA,"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",335,1,NEW,,Mining Engineering,
JoSAA,"Naval Architecture and Ocean Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","Naval Architecture and Ocean Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",101,1,NEW,,Architecture,
JoSAA,"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))","Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",394,1,NEW,,Architecture,
JoSAA,"Pharmaceutics (4 Years, Bachelor of Pharmaceutics)","Pharmaceutics (4 Years, Bachelor of Pharmaceutics)",24,1,NEW,,Pharmacy,
JoSAA,"Pharmaceutics (5 Years, Bachelor and Master of Pharmaceutics(Dual Degree))","Pharmaceutics (5 Years, Bachelor and Master of Pharmaceutics(Dual Degree))",24,1,NEW,,Pharmacy,
JoSAA,"Physical Science (5 Years, Integrated Bachelor of Science-Master of Science)","Physical Science (5 Years, Integrated Bachelor of Science-Master of Science)",48,1,NEW,,Physics,
JoSAA,"Physics and Computational Engineering (4 Years, Bachelor of Technology)","Physics and Computational Engineering (4 Years, Bachelor of Technology)",33,1,NEW,,Physics,
JoSAA,"Polymer Science and Engineering (4 Years, Bachelor of Technology)","Polymer Science and Engineering (4 Years, Bachelor of Technology)",223,1,NEW,,Chemical Engineering,
JoSAA,"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))","Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",205,1,NEW,,Production / Industrial Engineering,
JoSAA,"Robotics and AI (4 Years, Bachelor of Technology)","Robotics and AI (4 Years, Bachelor of Technology)",36,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
JoSAA,"Space Science and Engineering (4 Years, Bachelor of Technology)","Space Science and Engineering (4 Years, Bachelor of Technology)",48,1,NEW,,,
KCET,AERO SPACE ENGINEERING,AERO SPACE ENGINEERING,54,5,NEW,,Aerospace Engineering,
KCET,AGRICULTURE ENGINEERING,AGRICULTURE ENGINEERING,5,5,NEW,,Agricultural Engineering,
KCET,ARTIFICIAL INTELLIGENCE ENGINEERING,ARTIFICIAL INTELLIGENCE ENGINEERING,1,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,AUTOMOTIVE ENGINEERING,AUTOMOTIVE ENGINEERING,4,1,NEW,,Automobile Engineering,
KCET,B TECH IN AERO SPACE ENGINEERING,B TECH IN AERO SPACE ENGINEERING,50,4,NEW,,Aerospace Engineering,
KCET,B TECH IN AERONAUTICAL ENGINEERING,B TECH IN AERONAUTICAL ENGINEERING,1,1,NEW,,Aerospace Engineering,
KCET,B TECH IN AGRICULTURAL ENGINEERING,B TECH IN AGRICULTURAL ENGINEERING,7,1,NEW,,Agricultural Engineering,
KCET,B TECH IN ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,B TECH IN ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,100,5,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B TECH IN ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,B TECH IN ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,47,4,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B TECH IN BIO-TECHNOLOGY,B TECH IN BIO-TECHNOLOGY,31,3,NEW,,Biotechnology,
KCET,B TECH IN CIVIL ENGINEERING,B TECH IN CIVIL ENGINEERING,21,7,NEW,,Civil Engineering,
KCET,B TECH IN COMPUTER ENGINEERING,B TECH IN COMPUTER ENGINEERING,14,1,NEW,,Computer Science and Engineering,
KCET,B TECH IN COMPUTER SCIENCE,B TECH IN COMPUTER SCIENCE,17,1,NEW,,Computer Science and Engineering,
KCET,B TECH IN COMPUTER SCIENCE & ENGINEERING(ARTIFICAL INTELLIGENCE & MACHINE LEARNING),B TECH IN COMPUTER SCIENCE & ENGINEERING(ARTIFICAL INTELLIGENCE & MACHINE LEARNING),179,7,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B TECH IN COMPUTER SCIENCE & ENGINEERING(ARTIFICIAL INTELLIGENCE AND FUTURE TECHNOLOGIES),B TECH IN COMPUTER SCIENCE & ENGINEERING(ARTIFICIAL INTELLIGENCE AND FUTURE TECHNOLOGIES),19,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B TECH IN COMPUTER SCIENCE AND ENGINEERING,B TECH IN COMPUTER SCIENCE AND ENGINEERING,419,19,NEW,,Computer Science and Engineering,
KCET,B TECH IN COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),B TECH IN COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND DATA SCIENCE),48,2,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B TECH IN COMPUTER SCIENCE AND ENGINEERING(BLOCK CHAIN),B TECH IN COMPUTER SCIENCE AND ENGINEERING(BLOCK CHAIN),13,1,NEW,,Cyber Security,
KCET,B TECH IN COMPUTER SCIENCE AND ENGINEERING(CYBER SECURITY),B TECH IN COMPUTER SCIENCE AND ENGINEERING(CYBER SECURITY),57,3,NEW,,Cyber Security,
KCET,B TECH IN COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),B TECH IN COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),61,4,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B TECH IN COMPUTER SCIENCE AND ENGINEERING(IOT INCLUDING BLOCK CHAIN),B TECH IN COMPUTER SCIENCE AND ENGINEERING(IOT INCLUDING BLOCK CHAIN),15,1,NEW,,Cyber Security,
KCET,B TECH IN COMPUTER SCIENCE AND ENGINEERING(IOT),B TECH IN COMPUTER SCIENCE AND ENGINEERING(IOT),28,2,NEW,,Computer Science and Engineering,
KCET,B TECH IN COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,B TECH IN COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,20,1,NEW,,Computer Science and Engineering,
KCET,B TECH IN COMPUTER SCIENCE AND TECHNOLOGY,B TECH IN COMPUTER SCIENCE AND TECHNOLOGY,31,2,NEW,,Computer Science and Engineering,
KCET,B TECH IN COMPUTER SCIENCE AND TECHNOLOGY(BIG DATA),B TECH IN COMPUTER SCIENCE AND TECHNOLOGY(BIG DATA),12,1,NEW,,Computer Science and Engineering,
KCET,B TECH IN COMPUTER SCIENCE AND TECHNOLOGY(DEV OPS),B TECH IN COMPUTER SCIENCE AND TECHNOLOGY(DEV OPS),12,1,NEW,,Computer Science and Engineering,
KCET,B TECH IN COMPUTER SCIENCE(AI &ML),B TECH IN COMPUTER SCIENCE(AI &ML),38,2,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B TECH IN COMPUTER SCIENCE(CLOUD COMPUTING),B TECH IN COMPUTER SCIENCE(CLOUD COMPUTING),6,1,NEW,,Computer Science and Engineering,
KCET,B TECH IN COMPUTER SCIENCE(CYBER SECURITY),B TECH IN COMPUTER SCIENCE(CYBER SECURITY),14,1,NEW,,Cyber Security,
KCET,B TECH IN COMPUTER SCIENCE(DATA SCIENCE),B TECH IN COMPUTER SCIENCE(DATA SCIENCE),12,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B TECH IN COMPUTER SCIENCE(INFORMATION SECURITY),B TECH IN COMPUTER SCIENCE(INFORMATION SECURITY),1,1,NEW,,Computer Science and Engineering,
KCET,B TECH IN ELECTRICAL & ELECTRONICS ENGINEERING,B TECH IN ELECTRICAL & ELECTRONICS ENGINEERING,77,9,NEW,,Electrical Engineering,
KCET,B TECH IN ELECTRONICS & COMMUNICATION ENGINEERING,B TECH IN ELECTRONICS & COMMUNICATION ENGINEERING,202,16,NEW,,Electronics and Communication Engineering,
KCET,B TECH IN ELECTRONICS & COMPUTER ENGINEERING,B TECH IN ELECTRONICS & COMPUTER ENGINEERING,28,3,NEW,,Computer Science and Engineering,
KCET,B TECH IN ENERGY ENGINEERING,B TECH IN ENERGY ENGINEERING,1,1,NEW,,Energy Engineering,
KCET,B TECH IN INFORMATION SCIENCE & TECHNOLOGY,B TECH IN INFORMATION SCIENCE & TECHNOLOGY,15,1,NEW,,Computer Science and Engineering,
KCET,B TECH IN INFORMATION SCIENCE ENGINEERING,B TECH IN INFORMATION SCIENCE ENGINEERING,67,4,NEW,,Computer Science and Engineering,
KCET,B TECH IN INFORMATION TECHNOLOGY,B TECH IN INFORMATION TECHNOLOGY,26,3,NEW,,Computer Science and Engineering,
KCET,B TECH IN MATHAMATICS AND COMPUTING,B TECH IN MATHAMATICS AND COMPUTING,8,1,NEW,,Mathematics and Computing,
KCET,B TECH IN MECHANICAL ENGINEERING,B TECH IN MECHANICAL ENGINEERING,53,8,NEW,,Mechanical Engineering,
KCET,B TECH IN MECHATRONICS ENGINEERING,B TECH IN MECHATRONICS ENGINEERING,10,1,NEW,,Mechatronics,
KCET,B TECH IN PETROLEUM ENGINEERING,B TECH IN PETROLEUM ENGINEERING,1,1,NEW,,Chemical Engineering,
KCET,B TECH IN ROBOTIC ENGINEERING,B TECH IN ROBOTIC ENGINEERING,1,1,NEW,,Robotics and Automation,
KCET,B TECH IN ROBOTICS AND ARTIFICIAL INTELLIGENCE,B TECH IN ROBOTICS AND ARTIFICIAL INTELLIGENCE,46,4,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B TECH IN ROBOTICS AND AUTOMATION,B TECH IN ROBOTICS AND AUTOMATION,10,1,NEW,,Robotics and Automation,
KCET,B TECH IN ROBOTICS ENGINEERING,B TECH IN ROBOTICS ENGINEERING,13,1,NEW,,Robotics and Automation,
KCET,B TECH(HONS)COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),B TECH(HONS)COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE),11,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B.PLAN,B.PLAN,1,1,NEW,,Planning,
KCET,B.TECH IN BIOTECHNOLOGY & BIO-ENGINEERING,B.TECH IN BIOTECHNOLOGY & BIO-ENGINEERING,10,1,NEW,,Biotechnology,
KCET,B.TECH IN CIVIL CONSTRUCTION AND SUSTAINABILITY ENGINEERING,B.TECH IN CIVIL CONSTRUCTION AND SUSTAINABILITY ENGINEERING,1,1,NEW,,Civil Engineering,
KCET,B.TECH IN COMPUTER ENGINEERING(SOFTWARE PRODUCT DEVELOPMENT),B.TECH IN COMPUTER ENGINEERING(SOFTWARE PRODUCT DEVELOPMENT),14,1,NEW,,Computer Science and Engineering,
KCET,B.TECH IN COMPUTER SCIENCE & ENGINEERING(BUSINESS SYSTEMS),B.TECH IN COMPUTER SCIENCE & ENGINEERING(BUSINESS SYSTEMS),1,1,NEW,,Computer Science and Engineering,
KCET,B.TECH IN COMPUTER SCIENCE AND ARTIFICIAL INTELLIGENCE,B.TECH IN COMPUTER SCIENCE AND ARTIFICIAL INTELLIGENCE,13,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B.TECH IN COMPUTER SCIENCE AND ENGINEERING(CLOUD COMPUTING),B.TECH IN COMPUTER SCIENCE AND ENGINEERING(CLOUD COMPUTING),9,1,NEW,,Computer Science and Engineering,
KCET,B.TECH IN COMPUTER SCIENCE AND ENGINEERING(DEV OPS),B.TECH IN COMPUTER SCIENCE AND ENGINEERING(DEV OPS),6,1,NEW,,Computer Science and Engineering,
KCET,B.TECH IN COMPUTER SCIENCE AND ENGINEERING(FULL STACK DEVELOPMENT),B.TECH IN COMPUTER SCIENCE AND ENGINEERING(FULL STACK DEVELOPMENT),8,1,NEW,,Computer Science and Engineering,
KCET,B.TECH IN COMPUTER SCIENCE AND ENGINEERING(ROBOTICS),B.TECH IN COMPUTER SCIENCE AND ENGINEERING(ROBOTICS),9,1,NEW,,Computer Science and Engineering,
KCET,B.TECH IN COMPUTER SCIENCE AND MEDICAL ENGINEERING,B.TECH IN COMPUTER SCIENCE AND MEDICAL ENGINEERING,11,1,NEW,,Computer Science and Engineering,
KCET,B.TECH IN COMPUTER SCIENCE(INTERNET OF THINGS),B.TECH IN COMPUTER SCIENCE(INTERNET OF THINGS),10,2,NEW,,Computer Science and Engineering,
KCET,B.TECH IN COMPUTER SICENCE AND ENGINEERING(DATA ANALYTICS),B.TECH IN COMPUTER SICENCE AND ENGINEERING(DATA ANALYTICS),9,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,B.TECH IN ELECTRICAL AND ELECTRONICS ENGINEERING(ELECTRICAL VEHICLE TECHNOLOGY),B.TECH IN ELECTRICAL AND ELECTRONICS ENGINEERING(ELECTRICAL VEHICLE TECHNOLOGY),1,1,NEW,,Electrical and Electronics Engineering,
KCET,B.TECH IN ELECTRICAL ENGINEERING AND COMPUTER SCIENCE,B.TECH IN ELECTRICAL ENGINEERING AND COMPUTER SCIENCE,7,1,NEW,,Computer Science and Engineering,
KCET,B.TECH IN ELECTRONICS ENGINEERING,B.TECH IN ELECTRONICS ENGINEERING,1,1,NEW,,Electronics Engineering,
KCET,B.TECH IN ELECTRONICS ENGINEERING(VLSI AND EMBEDDED SYSTEM),B.TECH IN ELECTRONICS ENGINEERING(VLSI AND EMBEDDED SYSTEM),1,1,NEW,,Electronics and Communication Engineering,
KCET,B.TECH IN EMBEDDED SYSTEM AND VLSI,B.TECH IN EMBEDDED SYSTEM AND VLSI,6,1,NEW,,Electronics and Communication Engineering,
KCET,B.TECH IN MECHANICAL AND AEROSPACE ENGINEERING,B.TECH IN MECHANICAL AND AEROSPACE ENGINEERING,1,1,NEW,,Mechanical Engineering,
KCET,B.TECH IN VLSI,B.TECH IN VLSI,8,1,NEW,,Electronics and Communication Engineering,
KCET,BACHELOR OF DESIGN(INTERIOR DESIGN),BACHELOR OF DESIGN(INTERIOR DESIGN),1,1,NEW,,Design,
KCET,BIOMEDICAL AND ROBOTIC ENGINEERING,BIOMEDICAL AND ROBOTIC ENGINEERING,1,1,NEW,,Biomedical Engineering,
KCET,BTECH IN COMPUTER SCIENCE AND BUSINESS SYSTEMS,BTECH IN COMPUTER SCIENCE AND BUSINESS SYSTEMS,22,1,NEW,,Computer Science and Engineering,
KCET,BTECH IN COMPUTER SCIENCE AND DESIGN,BTECH IN COMPUTER SCIENCE AND DESIGN,14,1,NEW,,Computer Science and Engineering,
KCET,BTECH IN ELECTRONICS ENGINEERING(VLSI DESIGN & TECHNOLOGY),BTECH IN ELECTRONICS ENGINEERING(VLSI DESIGN & TECHNOLOGY),13,1,NEW,,Electronics and Communication Engineering,
KCET,BTECH IN INFORMATION TECHNOLOGY AUGMENTED REALITY AND VIRUTAL REALITY(AR/VR),BTECH IN INFORMATION TECHNOLOGY AUGMENTED REALITY AND VIRUTAL REALITY(AR/VR),8,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,BTECH IN INFORMATION TECHNOLOGY DATA ANALYTICS,BTECH IN INFORMATION TECHNOLOGY DATA ANALYTICS,11,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,BTECH IN MECHANICAL AND SMART MANUFACTURING,BTECH IN MECHANICAL AND SMART MANUFACTURING,1,1,NEW,,Mechanical Engineering,
KCET,CERAMICS & CEMENT ENGINEERING,CERAMICS & CEMENT ENGINEERING,1,1,NEW,,Metallurgical and Materials Engineering,
KCET,CIVIL ENGINEERING WITH COMPUTER APPLICATION,CIVIL ENGINEERING WITH COMPUTER APPLICATION,1,1,NEW,,Computer Science and Engineering,
KCET,CIVIL ENVIRONMENTAL ENGINEERING,CIVIL ENVIRONMENTAL ENGINEERING,1,1,NEW,,Civil Engineering,
KCET,COMMUNICATION DESIGN,COMMUNICATION DESIGN,1,1,NEW,,Design,
KCET,COMPUTER AND COMMUNICATION ENGINEERING,COMPUTER AND COMMUNICATION ENGINEERING,13,1,NEW,,Computer Science and Engineering,
KCET,COMPUTER SCIENCE & TECHNOLOGY,COMPUTER SCIENCE & TECHNOLOGY,1,1,NEW,,Computer Science and Engineering,
KCET,COMPUTER SCIENCE AND ENGINEERING(AIML),COMPUTER SCIENCE AND ENGINEERING(AIML),14,1,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,COMPUTER SCIENCE AND ENGINEERING(ARTIFICAL INTELLIGENCE & DATA SCIENCE),COMPUTER SCIENCE AND ENGINEERING(ARTIFICAL INTELLIGENCE & DATA SCIENCE),30,3,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),744,63,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE),COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE),88,7,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,COMPUTER SCIENCE AND ENGINEERING(CYBER SECURITY),COMPUTER SCIENCE AND ENGINEERING(CYBER SECURITY),169,28,NEW,,Cyber Security,
KCET,COMPUTER SCIENCE AND ENGINEERING(INTERNET OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH),COMPUTER SCIENCE AND ENGINEERING(INTERNET OF THINGS & CYBER SECURITY INCLUDING BLOCK CHAIN TECH),225,28,NEW,,Cyber Security,
KCET,COMPUTER SCIENCE AND ENGINEERING(INTERNET OF THINGS),COMPUTER SCIENCE AND ENGINEERING(INTERNET OF THINGS),1,1,NEW,,Computer Science and Engineering,
KCET,CONSTRUCTION TECHNOLOGY AND MGMT,CONSTRUCTION TECHNOLOGY AND MGMT,1,1,NEW,,Civil Engineering,
KCET,DATA SCIENCES,DATA SCIENCES,3,3,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KCET,ELECTRICAL & COMPUTER ENGINEERING,ELECTRICAL & COMPUTER ENGINEERING,1,1,NEW,,Computer Science and Engineering,
KCET,ELECTRICAL & ELECTRONICS ENGINEERING,ELECTRICAL & ELECTRONICS ENGINEERING,600,84,NEW,,Electrical Engineering,
KCET,ELECTRONICS & COMMUNICATION ENGINEERING(INDUSTRIAL INTEGTATED),ELECTRONICS & COMMUNICATION ENGINEERING(INDUSTRIAL INTEGTATED),1,1,NEW,,Electronics and Communication Engineering,
KCET,ELECTRONICS & COMPUTER ENGINEERING,ELECTRONICS & COMPUTER ENGINEERING,45,5,NEW,,Computer Science and Engineering,
KCET,ELECTRONICS & COMPUTER SCIENCE,ELECTRONICS & COMPUTER SCIENCE,1,1,NEW,,Computer Science and Engineering,
KCET,ELECTRONICS & INSTRUMENTATION ENGINEERING,ELECTRONICS & INSTRUMENTATION ENGINEERING,19,1,NEW,,Electronics Engineering,
KCET,ELECTRONICS AND COMMUNICATION ENGINEERING,ELECTRONICS AND COMMUNICATION ENGINEERING,1657,183,NEW,,Electronics and Communication Engineering,
KCET,ELECTRONICS AND COMMUNICATION ENGINEERING(VLSI DESIGN AND TECHNOLOGY),ELECTRONICS AND COMMUNICATION ENGINEERING(VLSI DESIGN AND TECHNOLOGY),21,2,NEW,,Electronics and Communication Engineering,
KCET,ELECTRONICS AND COMMUNICATION(ADVANCED COMMUNICATION TECHNOLOGY),ELECTRONICS AND COMMUNICATION(ADVANCED COMMUNICATION TECHNOLOGY),14,1,NEW,,Electronics and Communication Engineering,
KCET,ELECTRONICS AND INSTRUMENTATION ENGINEERING,ELECTRONICS AND INSTRUMENTATION ENGINEERING,86,8,NEW,,Electronics Engineering,
KCET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,ELECTRONICS AND TELECOMMUNICATION ENGINEERING,106,9,NEW,,Electronics and Communication Engineering,
KCET,ELECTRONICS ENGINEERING(VLSI DESIGN & TECHNOLOGY),ELECTRONICS ENGINEERING(VLSI DESIGN & TECHNOLOGY),55,9,NEW,,Electronics and Communication Engineering,
KCET,INDUSTRIAL & PRODUCTION ENGINEERING,INDUSTRIAL & PRODUCTION ENGINEERING,16,2,NEW,,Production / Industrial Engineering,
KCET,INDUSTRIAL ENGINEERING & MANAGEMENT,INDUSTRIAL ENGINEERING & MANAGEMENT,67,5,NEW,,Production / Industrial Engineering,
KCET,INFORMATION SCIENCE,INFORMATION SCIENCE,1,1,NEW,,Computer Science and Engineering,
KCET,INFORMATION SCIENCE AND ENGINEERING,INFORMATION SCIENCE AND ENGINEERING,821,97,NEW,,Computer Science and Engineering,
KCET,MECHANICAL AND SMART MANUFACTURING,MECHANICAL AND SMART MANUFACTURING,1,1,NEW,,Mechanical Engineering,
KCET,MECHATRONICS,MECHATRONICS,7,3,NEW,,Mechatronics,
KCET,MEDICAL ELECTRONICS ENGINEERING,MEDICAL ELECTRONICS ENGINEERING,24,2,NEW,,Electronics Engineering,
KCET,POLYMER SCIENCE & TECHNOLOGY,POLYMER SCIENCE & TECHNOLOGY,1,1,NEW,,Chemical Engineering,
KCET,SILK TECHNOLOGY,SILK TECHNOLOGY,1,1,NEW,,Textile / Fashion Technology,
KCET,TEXTILES TECHNOLOGY,TEXTILES TECHNOLOGY,2,2,NEW,,Textile / Fashion Technology,
KEAM,Applied Electronics & Instrumentation,Applied Electronics & Instrumentation,171,4,NEW,,Electronics Engineering,
KEAM,B.Tech Agricultural Engineering,B.Tech Agricultural Engineering,17,4,NEW,,Agricultural Engineering,
KEAM,B.Tech Agriculture Engineering,B.Tech Agriculture Engineering,60,5,NEW,,Agricultural Engineering,
KEAM,B.Tech. (Agricultural Engg.),B.Tech. (Agricultural Engg.),36,1,NEW,,Agricultural Engineering,
KEAM,B.Tech. (Agrl. Engg.),B.Tech. (Agrl. Engg.),25,1,NEW,,Agricultural Engineering,
KEAM,Bio Technology and Biochemical Engg.,Bio Technology and Biochemical Engg.,42,2,NEW,,Chemical Engineering,
KEAM,Bio Technology and Biochemical Engineering,Bio Technology and Biochemical Engineering,20,2,NEW,,Chemical Engineering,
KEAM,Biomedical & Robotic Engineering,Biomedical & Robotic Engineering,21,1,NEW,,Biomedical Engineering,
KEAM,Civil Engineering with Computer Application,Civil Engineering with Computer Application,21,2,NEW,,Computer Science and Engineering,
KEAM,Computer Science & Design,Computer Science & Design,36,4,NEW,,Computer Science and Engineering,
KEAM,Computer Science & Engineering,Computer Science & Engineering,1660,107,NEW,,Computer Science and Engineering,
KEAM,Computer Science & Engineering (Artificial Intelligence),Computer Science & Engineering (Artificial Intelligence),207,15,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KEAM,Computer Science & Engineering (Data Science),Computer Science & Engineering (Data Science),464,21,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KEAM,Computer Science & Engineering (Internet of Things & Cyber Security including Block Chain,Computer Science & Engineering (Internet of Things & Cyber Security including Block Chain,6,1,NEW,,Cyber Security,
KEAM,Computer Science & Engineering (Internet of Things & Cyber Security including Block Chain),Computer Science & Engineering (Internet of Things & Cyber Security including Block Chain),19,1,NEW,,Cyber Security,
KEAM,Computer Science & Engineering and Business Systems,Computer Science & Engineering and Business Systems,25,1,NEW,,Computer Science and Engineering,
KEAM,Computer Science and Engineering (Artificial Intelligence and Machine Learning),Computer Science and Engineering (Artificial Intelligence and Machine Learning),357,17,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KEAM,Computer Science and Engineering (Artificial Intelligence),Computer Science and Engineering (Artificial Intelligence),386,18,NEW,,Artificial Intelligence / Machine Learning / Data Science,
KEAM,Computer Science and Engineering (Cyber Security),Computer Science and Engineering (Cyber Security),594,29,NEW,,Cyber Security,
KEAM,Cyber Physical Systems,Cyber Physical Systems,76,3,NEW,,Cyber Security,
KEAM,Dairy Technology,Dairy Technology,70,4,NEW,,Dairy Technology,
KEAM,Dairy Technology.,Dairy Technology.,107,4,NEW,,Dairy Technology,
KEAM,Electronics & Biomedical Engg,Electronics & Biomedical Engg,15,1,NEW,,Electronics Engineering,
KEAM,Electronics & Biomedical Engineering,Electronics & Biomedical Engineering,27,1,NEW,,Electronics Engineering,
KEAM,Electronics & Communication,Electronics & Communication,1050,97,NEW,,Electronics and Communication Engineering,
KEAM,Electronics & Instrumentation,Electronics & Instrumentation,48,2,NEW,,Electronics Engineering,
KEAM,Electronics Engineering (VLSI Design & Technology),Electronics Engineering (VLSI Design & Technology),95,6,NEW,,Electronics and Communication Engineering,
KEAM,Electronics and Communication Engineering,Electronics and Communication Engineering,1702,104,NEW,,Electronics and Communication Engineering,
KEAM,Instrumentation & Control Engg.,Instrumentation & Control Engg.,65,2,NEW,,Instrumentation Engineering,
KEAM,Mechanical (Automobile),Mechanical (Automobile),10,2,NEW,,Mechanical Engineering,
KEAM,Mechanical Engg. (Automobile),Mechanical Engg. (Automobile),22,2,NEW,,Mechanical Engineering,
KEAM,Mechanical Engineering (Industry Integrated),Mechanical Engineering (Industry Integrated),10,2,NEW,,Mechanical Engineering,
KEAM,Metallurgical and Materials Engineering,Metallurgical and Materials Engineering,23,1,NEW,,Metallurgical and Materials Engineering,
KEAM,Naval Arch. & Ship Building Engineering,Naval Arch. & Ship Building Engineering,32,2,NEW,,Marine / Naval Engineering,
KEAM,Naval Architecture & Ship Building Engineering,Naval Architecture & Ship Building Engineering,61,3,NEW,,Architecture,
KEAM,Robotics & Automation,Robotics & Automation,71,4,NEW,,Robotics and Automation,
KEAM,Robotics and Automation Engineering,Robotics and Automation Engineering,57,5,NEW,,Robotics and Automation,
KEAM,Safety & Fire Engineering,Safety & Fire Engineering,89,4,NEW,,Safety and Fire Engineering,
MHT-CET,Civil Engineering (Structural Engineering),Civil Engineering (Structural Engineering),14,1,NEW,,Civil Engineering,
MHT-CET,Civil Engineering with Computer Application,Civil Engineering with Computer Application,4,1,NEW,,Computer Science and Engineering,
MHT-CET,Computer Engineering (Regional Language),Computer Engineering (Regional Language),22,1,NEW,,Computer Science and Engineering,
MHT-CET,Computer Science and Engineering (Artificial Intelligence),Computer Science and Engineering (Artificial Intelligence),64,5,NEW,,Artificial Intelligence / Machine Learning / Data Science,
MHT-CET,Computer Science and Engineering (Cyber Security),Computer Science and Engineering (Cyber Security),79,6,NEW,,Cyber Security,
